domain,dedupe_key,dedupe_key_type,review_id,review_rating,review_verified,review_timestamp,review_datetime_utc,review_title,review_text,author_title,author_id,author_country_code,author_reviews_number,owner_answer,owner_answer_date
www.thepearlsource.com,id:6a6971910c01336621211cdf,native_id,6a6971910c01336621211cdf,5,true,1785302449,07/29/2026 05:20:49,Beautiful pearl studs,I have been searching for some pearl studs.  I have some pearl studs that are small and wanted ones a bit bigger.  I am not disappointed with my purchase; these studs are stunning and just what I have been searching for.,Sylvia,6855f64f8a53754ef17562f4,US,7,,
www.thepearlsource.com,id:6a68ea35bc148609beb06171,native_id,6a68ea35bc148609beb06171,5,false,1785267797,07/28/2026 19:43:17,Outfit Perfectly,"The earrings that matched my needs were difficult to find, but this staff member got what I was going for immediately. They offered the right suggestion, and now they have completed my outfit perfectly.",Rontez Clay,69a733bee100ee3c9a51c350,IE,1,We truly appreciate your kind feedback. Knowing our team was able to recommend exactly what you were looking for and help complete your outfit means a great deal to us.,2026-07-28T21:31:37.000Z
www.thepearlsource.com,id:6a68c92ca8933e5922ed4ac5,native_id,6a68c92ca8933e5922ed4ac5,3,true,1785259340,07/28/2026 17:22:20,Very speedy delivery but…,"Very speedy delivery, but clasp has broken 24hrs after first being worn!",Jo,5f48efdb7a5e1499c8b42f62,GB,3,"Thank you for sharing your feedback. While we're glad your order arrived quickly, we're very sorry to hear the clasp broke after just 24 hours of wear. That is certainly not the experience we want you to have. Please contact us at help@thepearlsource.com with your order information so our team can review your case and work with you toward a resolution.",2026-07-28T21:29:36.000Z
www.thepearlsource.com,id:6a67a1a931546e52fe6a5f2a,native_id,6a67a1a931546e52fe6a5f2a,5,true,1785183689,07/27/2026 20:21:29,Pearl necklace dreams are made of,"The pearls, box it came in, and the shipping time are absolutely unbearable!
I couldn’t imagine a more beautiful piece of jewelry! Worth the price.
Pleasant customer service as well!
Will be buying more in the future!
",Margot Kot,6155b05a1d14c20012546ec6,US,8,"We truly appreciate your wonderful feedback. We're so pleased to hear that the pearls, presentation, shipping experience, and customer service all made your experience such a positive one. Thank you for your kind words and support.",2026-07-28T21:33:42.000Z
www.thepearlsource.com,id:6a666277db19630d7faed8c8,native_id,6a666277db19630d7faed8c8,5,true,1785101975,07/26/2026 21:39:35,Great selection and prompt on-time…,Great selection and prompt on-time delivery … beautiful pearls!,Jon P,59ce79720000ff000acf2687,US,6,"We're so glad to hear you were pleased with our selection, prompt delivery, and beautiful pearls. Thank you for choosing The Pearl Source.",2026-07-27T15:54:19.000Z
www.thepearlsource.com,id:6a665d2be100259e97c08398,native_id,6a665d2be100259e97c08398,5,true,1785100619,07/26/2026 21:16:59,The pearls look amazing and the…,The pearls look amazing and the packaging is beautiful ,Tiphani McKee,6a665d2ab06fbf5cc5f6c362,US,1,Thank you for your kind feedback. We're delighted to hear you were pleased with both the pearls and the beautiful packaging.,2026-07-27T15:55:06.000Z
www.thepearlsource.com,id:6a6651cd3219f16d11ef734e,native_id,6a6651cd3219f16d11ef734e,5,true,1785097709,07/26/2026 20:28:29,Very pleased,Very pleased!  The pearls are beautiful.  Packaging very nice.  Gift for my granddaughters 16th birthday!,Sherry Williams,530403e3000064000164c4e1,US,2,It's lovely to hear you were so pleased with the pearls and the packaging for such a special gift. Thank you for choosing The Pearl Source.,2026-07-27T15:57:18.000Z
www.thepearlsource.com,id:6a6615cf3cad854b1c7cada0,native_id,6a6615cf3cad854b1c7cada0,5,true,1785082351,07/26/2026 16:12:31,Love the colour and quality of my…,Love the colour and quality of my earrings- hopefully Ill have them for a long time ,Gail,5af3147e4de5666d34dc99b8,IE,14,We're so pleased to hear you love the color and quality of your earrings. Thank you for taking the time to leave a review.,2026-07-27T16:01:17.000Z
www.thepearlsource.com,id:6a65f02543c8b5894fd78c1d,native_id,6a65f02543c8b5894fd78c1d,5,true,1785072709,07/26/2026 13:31:49,Excellent!,Excellent!,Joan Farrell,6a65f024ff3db21842c3ebce,US,1,Thank you for your feedback. We truly value your kind words.,2026-07-27T16:06:37.000Z
www.thepearlsource.com,id:6a64012b6dcb6604cf1b6067,native_id,6a64012b6dcb6604cf1b6067,5,true,1784945995,07/25/2026 02:19:55,I gave it for a birthday gift and she…,I gave it for a birthday gift and she was very happy.,Alicia LEGUILLOW,6a03ce1498a79284ce4b1579,US,1,Thank you for your kind feedback. We're so pleased to hear your birthday gift was so well received.,2026-07-27T16:17:49.000Z
www.thepearlsource.com,id:6a63e98bf5e551f605f22ccb,native_id,6a63e98bf5e551f605f22ccb,3,true,1784939947,07/25/2026 00:39:07,I liked the ring,"I liked the ring, but did not love it. It just lacked something, too plain.",Suzie,5dcc9ff8a8374204e7756afd,US,2,"Thank you for sharing your honest feedback. We're pleased the ring made a positive impression overall, even if it wasn't quite the style you were hoping for. Thank you for taking the time to let us know about your experience.",2026-07-25T01:12:59.000Z
www.thepearlsource.com,id:6a63d0823dc2b227fc72dc69,native_id,6a63d0823dc2b227fc72dc69,5,true,1784933538,07/24/2026 22:52:18,Gorgeous Necklace ,"Beautiful, silky pearl necklace.  I buy these for my granddaughters who turn sixteen.  
They come in a lovely box, worthy of gift giving.  They arrive quickly as promised.  I recommend Pearl Source to everyone ",Mary Henneman,5f9b5e5854404f0019fa960c,US,1,Thank you for your wonderful feedback. We're delighted to hear the necklace has become such a meaningful gift for your granddaughters and that you were pleased with the presentation and delivery. We truly appreciate your recommendation.,2026-07-25T01:14:23.000Z
www.thepearlsource.com,id:6a63cfd725069396d03c4124,native_id,6a63cfd725069396d03c4124,5,true,1784933367,07/24/2026 22:49:27,Very nice pearls,Got what I paid for. The pearls are beautiful and perfectly matched. I wish they had been a little whiter but my granddaughters were thrilled.  ,Pam,55b7a4020000ff0001cfe99d,US,2,We appreciate your thoughtful feedback. It's wonderful to know the pearls were beautifully matched and made such a special gift for your granddaughters. Thank you for sharing your experience with us.,2026-07-25T01:15:53.000Z
www.thepearlsource.com,id:6a63c19244f79d1104e04550,native_id,6a63c19244f79d1104e04550,5,true,1784929714,07/24/2026 21:48:34,Gift for a Friend,"The website was easy to navigate, had great descriptions, and it was easy to add custom options. I learned more about pearls while navigating the website and appreciated information on the store, how pearls are sourced, and each product. 

All communication was prompt, consistent, and shipping was quick. 

",VI,6a63c192b06fbf2411f4a0b1,US,1,"Thank you for sharing such a detailed review. We're so pleased to hear you found our website informative and easy to navigate, and that our communication and shipping provided a smooth experience.",2026-07-25T01:17:42.000Z
www.thepearlsource.com,id:6a639d8fcd1f865a00454a29,native_id,6a639d8fcd1f865a00454a29,5,true,1784920495,07/24/2026 19:14:55,If you need to talk to a “live” person,"If you need to talk to a “live” person, they are always there, nice to talk to and extremely helpful. 
The “real” pearls are exceptional. They actually appear to glow especially when compared against imitation pearls.",John Gowers,59576a990000ff000aaa441d,GB,8,Thank you for your kind words. We're delighted to hear our team was helpful and that you were pleased with the exceptional quality of your pearls. We hope you enjoy wearing them.,2026-07-25T01:20:49.000Z
www.thepearlsource.com,id:6a63865cde3b2efea06f1873,native_id,6a63865cde3b2efea06f1873,5,true,1784914556,07/24/2026 17:35:56,Very happy with the Golden Pearls…,Very happy with the Golden Pearls!,Customer,5bb0292c4de5666d34ee2f42,US,5,Thank you for your kind feedback. We're so pleased to hear you're happy with your Golden Pearls. We truly appreciate you taking the time to share your experience.,2026-07-25T01:22:17.000Z
www.thepearlsource.com,id:6a625c1501604eaf387e08b5,native_id,6a625c1501604eaf387e08b5,5,false,1784838197,07/23/2026 20:23:17,I brought in a necklace for polishing…,"I brought in a necklace for polishing before a special occasion, and the difference was incredible. It looked bright, clean, and almost brand new. The service was quick, and the results exceeded my expectations.",Lindsay Hooper,6a625b70b06fbfb93ef2ca6f,US,1,Thank you for sharing your experience. We're so pleased to hear your necklace was beautifully restored in time for your special occasion and that you were happy with the service.,2026-07-24T04:05:09.000Z
